country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
KOR,ssp126,gfdl-esm4,-9.509552624877092e-05,-2.0743818789510908e-05,-0.00015532040667843376,-0.00015752753818637152,-7.022552054527462e-05,-7.246034477470989e-05,-5.990043858556578e-05,-0.0001290252940147419,-0.00010270070787953143,-0.00010665106894021788,-0.00010828092693259496,-5.865349098064305e-05,-3.807332796671495e-05,-6.137698096030596e-05,-8.225086663871528e-05,-6.45455854989197e-05,-0.0001178626631243855
LAO,ssp126,gfdl-esm4,-0.1012221787793529,-0.00979021355356445,-0.021714518960971922,-0.00675701231250241,-0.009361558692456485,-0.0044883559367593145,-0.0025125408281394764,-0.0042406877503605,-0.001692556698014001,-0.003921322615338376,-0.003528385109941836,-0.004626932907008076,-0.004488161692733463,-0.0026442044575319687,-0.004294164590534405,-0.002497311660681594,-0.003233807633671113
LKA,ssp126,gfdl-esm4,-0.01031787935387823,-0.0014210048589691363,-0.0013290554616914394,-0.0009635817822359112,-4.098105282100424e-05,-0.0007322844928836147,-0.0002775094353360602,-0.0007256010044505778,-0.0004727404616424793,-0.0008084864248913284,-0.00024775238180944887,-0.0004929508450856517,-0.0007186978341680529,-3.1869534150898726e-05,-0.0006846905004629973,-0.00012025263219131527,-0.000689867176544991
MAR,ssp126,gfdl-esm4,-0.00027150848238206366,-0.0009179008724867395,-0.0007986478361416744,-0.00015311029446243737,-6.240032503530625e-05,-0.0001354571406803408,3.1535804125894996e-05,-0.00010311057573908302,-3.291728010155352e-05,-5.050062997907069e-05,-0.00011763379863364544,-8.132720583019865e-05,-2.5623420151141887e-05,-7.89801808295838e-05,-4.317511660156485e-06,-4.797277926273047e-05,-4.7958315328737436e-05
MDA,ssp126,gfdl-esm4,-0.19282604185646834,-0.053139442420515326,-0.16613587342290592,-0.026246196716439255,-0.0588191786923355,-0.04898087286821688,0.00322226440250899,-0.01203680854256722,-0.0627808849649261,0.016131742941683014,-0.07231425810171578,-0.03921383564882403,-0.014742647090586479,-0.09019604249538182,-0.013163229674635306,-5.568641505349073e-05,0.019411320448252837
MDG,ssp126,gfdl-esm4,-0.0032789262533135296,-0.002761261055214576,-0.008401194286680623,-0.0018677530065964317,-0.0030415481213063346,-0.002382482689595918,-0.0014104009791732534,-0.0005326167730320411,-0.0006421471398238949,-0.0006525039709975376,-0.0007985952687007538,-0.0003738577458741808,-0.000267476923943684,-0.0001498842652580871,-0.00021670244518384187,-5.847996406352552e-05,-8.611220645696228e-05
MEX,ssp126,gfdl-esm4,-0.0272971153723671,-0.019430543681281782,-0.035782094500260674,-0.004477247255317009,-0.009257815083464209,-0.004955589694032794,-0.008841210337680636,-0.014144606511499385,-0.006655051846301343,-0.006591929458546926,-0.007317526462562495,-0.006732580430921112,-0.006792722988245514,-0.006337232066682378,-0.0075215714896581035,-0.006367130187392936,-0.01254422823987062
MKD,ssp126,gfdl-esm4,-0.006184237568328341,-0.03670346323869008,-0.02077255606903018,-0.01407608616125183,-0.0007780741301029018,-0.0037288882834117408,0.0031582185533497713,-0.0022792211588334283,-0.0015102578835189233,-0.0006125218208744695,-0.008865522893970173,-0.01329495110432724,0.004151538506900585,-0.013504241153331452,-0.00865802542943068,-0.004728924337539482,0.0025931660703385193
MLI,ssp126,gfdl-esm4,-0.5671370790810606,-0.6693030696162373,-0.32910584828729944,-0.12734421037319676,-0.2016938203821938,-0.13356812494634784,-0.04320186164458313,-0.09976662450627521,-0.05969320906177184,-0.055571421736865155,-0.04291458951033979,-0.051411450001524014,-0.034562752782164224,-0.017025611028001285,-0.018501718033833325,-0.023837343072739107,-0.00874684685684456
MOZ,ssp126,gfdl-esm4,-0.015511273467177178,-0.17398156125260894,-0.08293248133114021,-0.03977652465075318,-0.013419222368081503,-0.02605870947878214,-0.02819481127951172,-0.011388984796924496,-0.010345496433576459,-0.003479327406425452,-0.007028190913637798,-0.004679934675659278,-0.005148165862082021,-0.0022485872402633533,-0.004619491413126521,-0.0023561476474527705,-0.0019791284387307433
MWI,ssp126,gfdl-esm4,-0.46580795641650896,-0.3436676246877541,-0.1909318986268256,-0.03544519690162614,-0.060870303016889594,-0.04487941215877006,-0.0655655366335595,-0.03191186840137889,-0.027697908551886374,-0.011840993519171302,-0.010035451770698815,-0.00946444422668439,-0.008952438754343992,-0.00454083937922485,-0.011387813600259845,-0.004436031153834049,-0.004407211147749867
MYS,ssp126,gfdl-esm4,-0.00014897819727499102,-7.671456858203764e-05,-0.0001000048069129695,-3.426849018351117e-05,-2.842247460014923e-05,-5.009029076279143e-05,-6.989069819978161e-05,-8.245694022817597e-05,-6.808488835583512e-05,-5.412660312744551e-05,-5.391747770887641e-05,-3.558500434708742e-05,-6.838251346094397e-05,-3.82824501941319e-06,-6.000415934223019e-05,-4.5116975589005244e-05,-7.040722339228748e-05
NAM,ssp126,gfdl-esm4,-0.008252884543661953,-0.04443545487325902,-0.009128410722760282,-0.010908780582999392,-0.0058321345514905434,-0.01176157472770664,-0.009104064914353003,-0.008687394560616882,-0.0037626747497354934,-0.006013656318947563,-0.008315694119603872,-0.00241966737754458,-0.007403050011388157,-0.00165793871195528,-0.0036139591553888692,-0.004723978910515612,-0.003905806047702682
NER,ssp126,gfdl-esm4,-0.0037398529746140432,-0.0015173443032705375,-0.0038392718490601542,-0.0014889111997009401,-0.0020385278893413246,-0.0021026502595264417,-0.0005595998458675462,-0.0008702013432353406,-0.00026654494825708523,-0.0004324777896652222,-0.00023368215366613383,-0.0002546275852876378,-0.00020620626623834022,-4.2549374255336095e-05,-4.887990722770227e-05,-0.00010815011333607254,-8.312873625621846e-05
