country,date,tmax,tmax2,tmax3
MNE,2007,293.268474241672,86041.79651979393,25254142.666647956
MNE,2008,291.8850773668528,85233.4812419062,24899728.970575914
MNE,2009,292.4311425369912,85544.41931575275,25032487.754283987
MNE,2010,291.65542989791084,85102.15683970481,24843416.638922907
MNE,2011,292.04102550330117,85320.75764569819,24936280.12008841
MNE,2012,292.8749546582278,85820.65957855257,25160897.989123613
MNE,2013,292.63351652426485,85669.969741209,25090701.659688123
MNE,2014,291.4495692321472,84976.12411776428,24785561.086691245
MNE,2015,292.89504159791784,85827.39131656903,25161663.503020294
MNE,2016,292.46253232121387,85568.54961673025,25045571.320477203
MNE,2017,292.9518150536961,85864.15524736157,25179365.822474245
MNE,2018,293.9048900950353,86397.24466522117,25402638.26980549
MNE,2019,292.15278752195616,85395.47898734023,24973198.42069676
MNG,1971,289.420967314061,83820.85564982986,24291880.883467562
MNG,1972,290.3452625359561,84358.12492266616,24526257.85200737
MNG,1973,289.2824061407567,83741.65517469919,24257998.13158355
MNG,1974,290.1818927565702,84259.45065204933,24481719.928424515
MNG,1975,289.6941036817324,83978.8766038587,24360542.61593225
MNG,1976,289.05948236313304,83623.28492872321,24211217.12903146
MNG,1977,290.0706364483421,84200.84787313596,24458753.020422645
MNG,1978,290.1605302634766,84245.92259072814,24475292.601325497
MNG,1979,290.17838434137286,84299.34401821252,24516994.381645568
MNG,1980,289.82901770236896,84095.50830218333,24427800.945503876
MNG,1981,291.53284290656586,85044.6296182336,24824207.921803758
MNG,1982,290.5049124982802,84440.15342530771,24557595.079836115
MNG,1983,288.5997313221843,83349.51710813987,24088869.198826768
MNG,1984,289.9960713043725,84162.42754086992,24443978.86907856
MNG,1985,289.48009125883357,83851.66675143715,24303947.55280681
MNG,1986,290.3252031659425,84352.00224035824,24525996.862874135
MNG,1987,289.81425577724013,84052.20976456572,24394181.125306636
MNG,1988,289.3068212317474,83756.80237058738,24264941.628228586
MNG,1989,290.6084905642939,84500.45001175409,24583906.020688247
MNG,1990,289.70830089265786,83987.52601466775,24364533.015724864
MNG,1991,290.0418552549786,84194.69228508783,24460728.95668616
MNG,1992,290.9157654426768,84692.52049082081,24673491.89758764
MNG,1993,289.42183623058867,83826.13449902006,24296229.60791684
MNG,1994,291.0758023920705,84777.15964026828,24706769.688357037
MNG,1995,289.1212799304503,83656.57955734465,24224714.15009617
MNG,1996,290.303472735702,84340.03856435053,24521025.458266202
MNG,1997,291.62342206854765,85098.93513673398,24848761.72235784
MNG,1998,291.2491645660184,84872.59807115786,24746157.250459854
MNG,1999,291.74349982030003,85179.3348611993,24888398.667416103
MNG,2000,292.6782302115327,85727.14935609279,25129155.962161332
MNG,2001,291.7905851515866,85210.44490578312,24903499.08348078
MNG,2002,292.0582193491295,85377.68209637399,24981384.199804086
MNG,2003,291.0142238585439,84745.04901697446,24694361.904532492
MNG,2004,291.55719392614236,85073.55188657469,24843274.145432144
MNG,2005,290.9725988740901,84731.87185103755,24693433.83257813
MNG,2006,289.50602326681354,83889.42071216536,24330091.01740194
MNG,2007,292.73299350868837,85766.7016509281,25150085.38629966
MNG,2008,291.1743656526288,84842.86620325588,24739138.01749713
MNG,2009,292.1085856241095,85376.78610827013,24968014.565856196
MNG,2010,290.7498716319775,84644.24200261879,24673133.415609278
MNG,2011,290.99572950126134,84735.65522941717,24690840.141264327
MNG,2012,290.53252695248165,84471.92913381367,24578101.194562584
MNG,2013,290.2115478049709,84288.30888242682,24499157.33042383
MNG,2014,291.35543291735763,84939.00446435694,24777062.744320128
MNG,2015,291.9388240750227,85305.51111906196,24948851.834350344
MNG,2016,291.21847864273906,84871.49614874276,24752950.24542102
MNG,2017,293.6291759482766,86285.42702298447,25375335.926474776
MNG,2018,292.3247273110491,85513.97030817356,25032795.75674006
MNG,2019,291.51080081290604,85043.61189387951,24828956.71029179
MOZ,1971,297.7518005371094,88659.953125,26400958.0
MOZ,1972,297.1423645019531,88298.8359375,26240484.0
MOZ,1973,297.65045166015625,88603.59375,26377528.0
MOZ,1974,296.072021484375,87663.859375,25957880.0
MOZ,1975,297.2929382324219,88386.578125,26278762.0
MOZ,1976,296.6297912597656,87994.0859375,26104516.0
MOZ,1977,297.7436828613281,88655.421875,26399024.0
MOZ,1978,296.4960632324219,87913.4296875,26068072.0
MOZ,1979,297.839111328125,88715.265625,26427120.0
MOZ,1980,298.0567626953125,88842.7421875,26483098.0
MOZ,1981,297.2626953125,88372.0234375,26273782.0
MOZ,1982,297.9397888183594,88774.609375,26453306.0
MOZ,1983,299.0457458496094,89435.1484375,26749260.0
MOZ,1984,297.8008117675781,88690.90625,26415544.0
MOZ,1985,297.4687805175781,88493.1171875,26327176.0
MOZ,1986,297.2371826171875,88356.0078125,26266294.0
MOZ,1987,299.00714111328125,89410.03125,26737126.0
MOZ,1988,297.3981018066406,88452.3671875,26309572.0
MOZ,1989,296.707275390625,88040.4375,26125338.0
MOZ,1990,297.92132568359375,88761.515625,26446534.0
MOZ,1991,297.6927490234375,88626.09375,26386398.0
MOZ,1992,298.76177978515625,89264.21875,26672090.0
MOZ,1993,297.7891540527344,88681.6328125,26410370.0
MOZ,1994,298.0791320800781,88856.6640625,26489626.0
MOZ,1995,298.0585021972656,88845.2109375,26484848.0
MOZ,1996,297.0316162109375,88233.203125,26211250.0
MOZ,1997,297.1364440917969,88295.34375,26238910.0
MOZ,1998,298.8630065917969,89323.796875,26698398.0
